sku,categories
/,"cat_3,cat_11,cat_14,cat_21,cat_2224,cat_8"
107400501,"cat_2127,cat_3,cat_11,cat_14"
107400601,"cat_2127,cat_3,cat_11,cat_14"
107403901,"cat_1968,cat_3,cat_11,cat_19,cat_20,cat_8,cat_17,cat_18"
107405301,"cat_2127,cat_3,cat_11,cat_14"
107408301,"cat_3,cat_1558,cat_1733,cat_1549,cat_1734"
107410801,cat_3
107411201,"cat_3,cat_21,cat_2224"
107414301,"cat_2127,cat_3,cat_11,cat_14"
107414401,"cat_2127,cat_3,cat_11,cat_14"
107414501,"cat_2127,cat_3,cat_11,cat_14"
107414601,"cat_2127,cat_3,cat_11,cat_14"
107414701,"cat_2127,cat_3,cat_11,cat_14"
107414801,"cat_2127,cat_3,cat_11,cat_14"
107414901,"cat_2127,cat_3,cat_11,cat_14"
107415001,"cat_2127,cat_3,cat_11,cat_14"
107415101,"cat_2127,cat_3,cat_11,cat_14"
107415201,"cat_2127,cat_3,cat_11,cat_14"
107415301,"cat_2127,cat_3,cat_11,cat_14"
107415401,"cat_2127,cat_3,cat_11,cat_14"
107415501,"cat_2127,cat_3,cat_11,cat_14"
107415601,"cat_2127,cat_3,cat_11,cat_14"
107417101,"cat_3,cat_11"
107417201,"cat_3,cat_11"
107417301,"cat_3,cat_11,cat_14,cat_8"
107420101,"cat_2374,cat_3,cat_21,cat_259,cat_2224,cat_8,cat_256"
107420201,"cat_2374,cat_3,cat_21,cat_259,cat_2224,cat_8,cat_256"
107420301,"cat_2374,cat_3,cat_21,cat_259,cat_2224,cat_8,cat_256"
107420401,"cat_2374,cat_3,cat_21,cat_259,cat_2224,cat_8,cat_256"
107438501,"cat_3,cat_11,cat_19,cat_66,cat_8,cat_17,cat_65"
107449401,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107449501,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107449601,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107449701,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107449801,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107449901,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107461301,"cat_1968,cat_3,cat_11,cat_19,cat_93,cat_8,cat_17,cat_92"
107473801,"cat_1968,cat_3,cat_11,cat_19,cat_91,cat_8,cat_17,cat_90"
